itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
VT-F-99-010819,PEM102-OLD,Omni Channel,Actual,VT240147,Contractor,MTS,P15865,Sale,2024-10-08,2024-09-30,2024-09-30,75090.78,3.0
CT-F-99-020706,PEM102-OLD,Omni Channel,Actual,"CT240252,CT240244",Contractor,MTS,P1771,Sale,2024-10-08,2024-09-30,2024-09-30,70785.54,9.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240146,Contractor,MTS,P15311,Sale,2024-10-08,2024-09-30,2024-09-30,57142.44,3.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,"CT240243,CT240182,CT240228",Contractor,MTS,P1748,Sale,2024-10-08,2024-09-30,2024-09-30,62631.18,9.0
VT-F-99-010302,PEM102-OLD,Omni Channel,Actual,VT240162,Contractor,MTO,P3225,Sale,2024-10-04,2024-09-30,2024-09-30,10497.46,1.0
RS-F-99-070005,PEM102-OLD,Omni Channel,Actual,RS190335,End User,MTS,P1796,Sale,2024-10-05,2024-09-30,2024-09-30,893.67,3.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT240214,Dealer,MTO,P1749,Sale,2024-10-20,2024-09-30,2024-09-30,21088.11,3.0
CT-F-99-020511,PEM102-OLD,Omni Channel,Actual,"CT240009,CT240048",Dealer,MTS,P1752,Sale,2024-10-20,2024-09-30,2024-09-30,26697.78,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240131,Contractor,MTS,P15311,Sale,2024-10-10,2024-10-01,2024-10-01,19047.48,1.0
CT-F-99-020531,PEM102-OLD,Omni Channel,Actual,CT240129,Contractor,MTS,P24362,Sale,2024-10-10,2024-10-01,2024-10-01,39058.44,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240146,Contractor,MTS,P15311,Sale,2024-10-25,2024-10-01,2024-10-01,19047.48,1.0
CT-F-99-020510,PEM102-OLD,Omni Channel,Actual,CT240183,Contractor,MTS,P1751,Sale,2024-10-25,2024-10-01,2024-10-01,26137.35,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240146,Contractor,MTS,P15311,Sale,2024-10-04,2024-10-01,2024-10-01,19047.48,1.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT240223,Contractor,MTS,P1747,Sale,2024-10-04,2024-10-01,2024-10-01,19837.23,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240122,End User,MTS,P15311,Sale,2024-10-04,2024-10-02,2024-10-02,19047.48,1.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240218,End User,MTS,P1748,Sale,2024-10-04,2024-10-02,2024-10-02,20877.06,3.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240124,Contractor,MTS,P15837,Sale,2024-10-04,2024-10-02,2024-10-02,18520.58,1.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT240223,Contractor,MTS,P1747,Sale,2024-10-04,2024-10-02,2024-10-02,19837.23,3.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240189,Contractor,MTS,P1746,Sale,2024-10-04,2024-10-02,2024-10-02,13663.56,2.0
