itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-04,2024-10-02,2024-10-02,16772.96,2.0
VT-F-99-010701,PEM102-OLD,Omni Channel,Actual,VT240154,Contractor,MTS,P2889,Sale,2024-10-15,2024-10-02,2024-10-02,19756.78,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,End User,MTS,P3555,Sale,2024-10-09,2024-10-02,2024-10-02,16772.96,2.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240111,Contractor,MTS,P13054,Sale,2024-10-21,2024-10-02,2024-10-02,83455.29,3.0
RS-F-99-070004,PEM102-OLD,Omni Channel,Actual,RS190334,Smart Shop,MTS,P1794,Sale,2024-10-04,2024-10-03,2024-10-03,3512.88,12.0
RS-F-99-070002,PEM102-OLD,Omni Channel,Actual,RS190333,Smart Shop,MTS,P1799,Sale,2024-10-04,2024-10-03,2024-10-03,1227.03,3.0
VT-F-99-010701,PEM102-OLD,Omni Channel,Actual,VT240154,Smart Shop,MTS,P2889,Sale,2024-10-22,2024-10-02,2024-10-02,19756.78,1.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240124,Factory,MTS,P15837,Sale,2024-10-08,2024-10-03,2024-10-03,18520.58,1.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240195,Factory,MTS,P1746,Sale,2024-10-08,2024-10-03,2024-10-03,20495.34,3.0
CT-F-99-020503,PEM107,Omni Channel,Actual,CT240226,Contractor,MTS,P46070,Sale,2025-02-28,2024-10-04,2024-10-04,19764.99,3.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-05,2024-10-04,2024-10-04,16772.96,2.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240213,Smart Shop,MTS,P1746,Sale,2024-10-05,2024-10-04,2024-10-04,13663.56,2.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240111,Contractor,MTO,P13054,Sale,2024-10-10,2024-10-04,2024-10-04,27818.43,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-11,2024-10-04,2024-10-04,16772.96,2.0
