itemcode,createDate,qty,n_rows,revenue_type,linked_via_jobcode,linked_via_olmjobcode,linked
CT-F-99-020506,2024-01-26,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-26,1.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-01-26,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-26,2.0,1,Omni Channel,True,True,True
VT-F-99-010722,2024-01-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-01-29,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-29,2.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-01-29,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-29,2.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-01-29,3.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-01-29,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-29,2.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-29,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-29,1.0,1,Omni Channel,True,True,True
CT-F-99-020514,2024-01-30,3.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-01-30,3.0,1,Omni Channel,True,True,True
CT-F-99-020723,2024-01-31,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-01-31,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-31,3.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-31,3.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-01-31,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-31,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020511,2024-02-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-01,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-01,3.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-02-01,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-01,2.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-02,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-02,1.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-02,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-02,3.0,1,Omni Channel,True,True,True
CT-F-99-020503,2024-02-02,17.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-02,17.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-02,1.0,1,Omni Channel,True,True,True
RS-F-99-041001,2024-02-05,12.0,1,Omni Channel,True,True,True
RS-F-99-041002,2024-02-05,12.0,1,Omni Channel,True,True,True
RS-F-99-041003,2024-02-05,24.0,1,Omni Channel,True,True,True
RS-F-99-041004,2024-02-05,12.0,1,Omni Channel,True,True,True
RS-F-99-041015,2024-02-05,12.0,1,Omni Channel,True,True,True
RS-F-99-041033,2024-02-05,24.0,1,Omni Channel,True,True,True
RS-F-99-041034,2024-02-05,12.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020503,2024-02-05,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-02-05,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-05,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-02-05,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-05,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-06,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-02-06,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-06,3.0,1,Omni Channel,True,True,True
CT-F-99-020524,2024-02-06,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-06,1.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-02-06,8.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-02-06,6.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-06,14.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-07,3.0,1,Omni Channel,True,True,True
